나라,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
보나르와 성 유스타티우스와 사바,0.12478,0.13022,0.14301,0.13699,0.13319,0.1195,0.11174,0.13765,0.12799,0.16751,0.18735,0.16306,0.15811,0.17539,0.15897,0.11513,0.24593,0.12845,0.10939,0.11475,0.1181,0.11249,0.12577,0.064637,0.16141,0.18892,0.036216,0.032197,0.031717,0.060375,0.064657,0.051594,0.042507,0.065618,0.062909,0.062254,0.058235,0.060943,0.0033639,0.025207,0.066885,0.068108,0.065661,0.065705,0.068938,0.068326,0.07121,0.080165,0.077107,0.078899,0.054346,0.069331,0.084272,0.084272,0.084272,0.095264,0.10259,0.10259,0.098928,0.10992,0.11358,0.10945,0.11046
보스니아 헤르체고비나,5.3906,5.6502,5.7982,6.4503,7.3078,7.5189,7.4507,7.5258,8.0493,8.3458,10.9058,11.7534,11.0158,13.1584,13.2152,13.7885,14.2305,13.8376,15.4621,16.817,16.535,17.9958,16.5305,17.8006,18.7721,19.1486,19.9973,19.5223,20.1439,20.082,19.8862,14.0694,15.0287,12.5806,3.205,3.402,4.2395,8.3658,10.5506,10.3333,13.7022,13.2628,14.1726,14.3581,15.4625,16.046,17.3868,17.4743,19.9586,20.5371,21.1457,23.7613,22.1342,21.801,19.3118,18.4605,21.7304,22.1562,22.075,20.8104,20.8318,19.938,19.7357
보츠와나,0,0,0,0,0,0,0,0,0,0,,,0.021984,0.051296,0.087936,0.18686,0.59357,0.78043,0.83173,0.94165,0.98562,1.0076,1.0992,1.0296,1.0442,1.1578,1.0662,1.2384,1.3007,1.429,2.7004,2.6344,2.7773,3.195,3.0301,3.0448,2.7553,2.7993,3.3416,3.1584,3.7776,3.8472,3.9754,3.8252,3.8948,4.0927,4.133,4.2283,4.5031,3.8554,4.5373,4.0288,5.0767,5.6631,6.8502,5.4212,6.3482,7.0773,7.5043,6.7821,5.551,6.1364,7.4673
브라질,46.8518,49.136,53.6132,55.523,56.6263,56.2792,64.1624,66.0326,77.2241,84.0884,93.4882,102.3371,114.0188,132.0608,143.0157,150.3266,154.607,162.3634,177.1172,187.7872,186.1907,171.3244,171.4997,165.8998,167.5675,180.1107,197.2384,205.9677,207.6953,212.0711,218.658,229.394,233.601,244.306,254.002,268.678,289.311,306.949,317.359,327.256,340.183,346.166,347.765,344.645,361.434,364.371,368.871,390.573,412.638,389.775,440.269,462.58,498.309,532.418,557.901,529.353,492.748,497.1214,477.9986,473.4644,444.5043,497.2063,483.4773
영국령 버진 제도,0,0,0.003664,0.003664,0.007328,0.007328,0.010992,0.003664,0.014656,0.01832,0.01832,0.021984,0.021984,0.025648,0.025648,0.025648,0.025648,0.029312,0.029312,0.029312,0.029312,0.043968,0.03664,0.040304,0.040304,0.047632,0.05496,0.062288,0.065952,0.065952,0.065952,0.07328,0.080608,0.084272,0.084272,0.087936,0.098928,0.10259,0.10259,0.11358,0.11725,0.12458,0.1429,0.14656,0.15389,0.16488,0.17954,0.18686,0.19419,0.19419,0.21251,0.21251,0.21251,0.21251,0.21618,0.22717,0.23083,0.17954,0.16122,0.16488,0.16122,0.15535,0.15678
브루나이 다루살람,0.33342,0.30411,0.37006,0.35541,0.34075,0.33342,0.49098,0.43968,0.42869,0.48731,8.2037,7.5112,9.4531,9.9734,8.178,7.0752,6.02,6.39,9.5337,7.4343,6.8773,2.0592,2.6647,2.7333,1.9163,2.5941,2.2973,3.3159,5.7122,6.3424,5.4557,7.2108,6.8847,6.357,5.553,5.8253,5.8787,6.0872,5.5953,5.9781,5.3287,5.1896,4.6699,5.5979,5.6406,5.4285,7.1437,8.0767,9.1656,7.7449,8.0174,9.5554,9.4998,7.6261,8.831,6.9333,7.6329,9.3094,9.3445,10.7328,11.1019,11.3018,10.7537
불가리아,22.2707,25.945,30.704,34.3741,42.8181,46.2691,48.716,55.1077,59.4635,66.3077,61.174,64.2216,66.0789,68.7173,71.1365,72.9222,72.9648,75.7959,81.2071,78.9279,77.2506,80.0868,89.8442,90.0613,87.0449,89.2213,91.1723,91.2732,86.9133,86.4822,76.638,61.4563,57.3065,58.364,56.367,57.909,58.4601,55.8091,53.1151,46.3185,45.4135,48.9219,46.0994,50.4737,49.5258,50.5982,51.8366,55.6837,54.0225,45.7597,47.8084,53.1248,48.29,42.5867,45.1618,48.121,45.3369,47.4306,43.4796,42.2327,36.5336,42.2819,46.1475
부르키나파소,0.043968,0.0916,0.084272,0.087936,0.10992,0.10259,0.10259,0.10259,0.10259,0.12091,0.1429,0.15022,0.16122,0.16854,0.20518,0.21984,0.20885,0.24915,0.34808,0.4067,0.43235,0.55693,0.57525,0.59357,0.46533,0.47632,0.47998,0.51662,0.55326,0.82074,0.58258,0.62654,0.63021,0.62654,0.64486,0.62411,0.7047,0.80401,0.85894,0.91561,1.0297,0.99109,1.0013,1.0745,1.1001,1.1221,1.3601,1.5908,1.7335,1.829,2.0364,2.1309,2.6189,2.8638,2.9115,3.715,3.904,4.519,5.0101,5.5075,5.1941,5.8787,5.9622
부룬디,0.036431,0.047737,0.043968,0.047632,0.047632,0.03664,0.047632,0.047632,0.05496,0.07328,0.062288,0.07328,0.07328,0.07328,0.0916,0.076944,0.087936,0.098928,0.10259,0.10992,0.14656,0.15755,0.15755,0.20518,0.21984,0.23083,0.2345,0.24915,0.22717,0.26747,0.20885,0.23816,0.21618,0.22717,0.2345,0.23816,0.24182,0.24915,0.24915,0.25282,0.27114,0.20518,0.21251,0.16122,0.19786,0.15389,0.1832,0.20152,0.20885,0.16854,0.29678,0.34075,0.35202,0.35907,0.34808,0.35541,0.42869,0.51296,0.64508,0.68883,0.73577,0.8,0.79845
캄보디아,0.2345,0.28579,0.30778,0.38838,0.34072,0.40283,0.46875,0.41746,0.49074,1.3444,1.1723,0.24909,0.11735,0.12864,0.073688,0.073842,0.073996,0.07415,0.051442,0.029312,0.28579,0.30045,0.33709,0.3664,0.41037,0.4177,0.43235,0.43602,0.45067,0.45067,1.2604,1.3044,1.3484,1.385,1.4819,1.5555,1.6313,1.5519,1.9627,1.8943,1.9749,2.2497,2.2057,2.3779,2.4439,2.7736,2.9972,3.4711,3.8667,4.5571,5.0781,5.2747,5.576,5.6367,6.8343,8.3656,10.9217,12.4755,13.9338,18.2196,19.0342,20.1304,19.955
