나라,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
과들루프,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과테말라,1.3442,1.4065,1.3809,1.5199,1.769,1.9739,1.7396,1.9813,2.1391,2.2781,2.2964,2.4393,2.7066,2.9336,3.0655,3.5195,3.3049,3.8045,4.1171,4.678,4.4926,3.9495,3.6068,3.1599,3.4011,3.4968,3.6646,3.9184,4.0753,4.1882,4.9722,4.9511,5.9192,5.5778,6.7512,7.0786,6.5711,7.5019,8.6394,8.8058,9.7648,10.2333,10.7217,10.448,11.1803,12.1093,12.1766,12.1449,10.8932,11.442,11.0977,11.2373,11.5766,12.8117,13.8271,15.9519,16.9265,17.3205,18.5008,19.5017,17.3369,19.683,19.1932
기니,0.41037,0.61555,0.65952,0.69616,0.69982,0.69616,0.71814,0.72547,0.74746,0.74746,0.79142,0.81341,0.83173,0.80242,0.83906,0.84272,0.88669,0.90134,0.90134,0.94531,0.96363,0.98928,0.98195,0.95264,0.97829,0.99294,0.99661,0.99294,1.0259,1.0442,1.0039,1.0259,1.0589,1.0882,1.1248,1.1652,1.2348,1.2897,1.363,1.4326,1.4912,1.5609,1.6232,1.7001,1.7624,1.8247,1.8906,1.9676,1.9969,2.1105,2.4842,2.5941,2.4219,2.1105,2.1654,2.4512,2.7412,3.239,3.162,3.921,4.4994,4.8672,4.9536
기니비사우,0.01832,0.029312,0.040304,0.047632,0.058624,0.065952,0.065952,0.047632,0.062288,0.058624,0.069616,0.07328,0.065952,0.10992,0.10259,0.11358,0.095264,0.10259,0.10259,0.10992,0.14656,0.1429,0.1429,0.1429,0.16122,0.17221,0.1832,0.19419,0.21618,0.23083,0.17221,0.17587,0.17954,0.1832,0.1832,0.1832,0.20518,0.20152,0.17221,0.19419,0.14656,0.15022,0.15389,0.19419,0.20152,0.21251,0.21618,0.23083,0.22717,0.2345,0.23816,0.24182,0.24549,0.24549,0.26014,0.27846,0.30411,0.30411,0.31144,0.32243,0.29678,0.32105,0.32674
가이아나,0.65952,0.73646,0.67784,0.61555,0.64853,1.0772,1.1798,1.3227,1.33,1.3667,1.5792,1.4986,1.5609,1.8027,1.5535,1.8247,1.7514,1.898,2.0555,1.5206,1.788,1.799,1.4033,1.2458,1.4033,1.418,1.0442,1.308,1.4033,1.1835,1.1285,1.1065,1.0406,1.0442,1.4583,1.5682,1.6525,1.8064,1.8283,1.832,1.7477,1.7441,1.7148,1.8576,1.9273,1.6195,1.5096,1.7807,1.7074,1.9089,1.887,1.9602,1.9602,1.9053,1.972,2.0033,2.3747,2.3268,2.503,2.7558,3.1884,3.5639,3.5371
아이티,0.28558,0.29661,0.30387,0.24894,0.30021,0.30393,0.30396,0.26,0.26363,0.3149,0.38448,0.40274,0.39172,0.42091,0.47209,0.48302,0.67218,0.70414,0.75064,0.7499,0.74507,0.75893,0.8173,0.88603,0.90315,0.92952,0.83022,0.89879,1.0077,1.0231,0.995,0.97614,0.88852,0.6842,0.1832,0.8757,1.0186,1.3484,1.2348,1.2714,1.6341,1.4713,1.7852,1.7002,1.652,1.7243,1.752,1.7724,1.7606,1.8883,2.1368,2.2729,2.2642,2.7062,2.7046,2.6607,2.9795,3.1392,3.4102,3.0915,2.5126,2.4254,2.4467
온두라스,0.6154,0.73629,0.69959,0.71058,0.72151,0.75073,0.80566,0.87525,1.2232,1.1756,1.388,1.3288,1.5331,1.5061,1.5533,1.6608,1.7706,1.9934,2.0394,1.9228,2.038,1.8078,1.7495,1.9765,1.9574,1.8857,1.825,2.1442,2.465,2.6803,2.5047,2.527,2.8033,2.9408,3.231,3.8362,3.8755,4.0103,4.8106,4.7046,5.0315,5.6649,5.9453,6.6868,7.1942,6.8349,7.6982,8.2164,8.5329,8.0304,7.9966,8.8603,9.2183,9.3649,9.4812,10.348,9.7223,10.2315,9.8613,11.2188,9.5261,10.8349,11.1597
홍콩,2.9526,3.3701,3.6815,4.2457,4.2201,4.8025,5.1616,6.0521,6.198,7.7515,8.3925,9.1506,9.2756,9.2865,10.6673,11.008,12.4904,14.2039,15.7141,15.8376,16.6002,18.6167,19.6228,20.9121,22.2248,22.8814,25.5259,28.0856,29.2848,30.1412,27.1477,28.4631,32.9186,34.7778,31.0793,31.2671,28.9085,30.497,38.925,42.549,40.2828,37.8017,39.4851,43.2023,41.5694,43.7306,41.9148,43.5724,42.7906,41.5794,40.0629,43.1497,42.7421,44.3069,45.4918,42.3999,43.3658,42.4312,42.6006,41.9002,33.4971,32.7755,30.5689
헝가리,45.3283,48.9299,50.5122,56.2278,62.3412,61.2341,61.6729,58.7708,61.0932,62.3582,69.9346,69.2036,69.3416,72.9597,73.9806,75.2479,79.8416,83.0055,87.9642,85.9877,86.6088,86.352,86.6009,88.8562,90.5613,85.8284,83.2408,84.1365,78.0548,75.9172,73.3768,69.7019,62.348,63.5584,61.889,61.6011,63.1581,61.7117,61.3129,61.8062,58.506,60.109,59.086,61.8607,60.2517,60.4007,59.7098,58.6313,57.3263,51.5422,52.0875,50.2531,46.8187,43.6696,43.7918,46.7174,47.1785,49.5803,49.5344,49.3105,47.3355,48.5639,44.3536
아이슬란드,1.2125,1.0916,1.1977,1.304,1.3076,1.3955,1.4944,1.4431,1.5934,1.2637,1.3883,1.4722,1.4828,1.75,1.7385,1.6135,1.7013,1.9027,1.9208,1.983,1.8618,1.748,1.5938,1.5425,1.8097,1.6226,1.7802,1.8451,1.8411,1.8965,2.2228,2.1036,2.2502,2.4009,2.3497,2.4693,2.5237,2.6194,2.6387,2.8414,2.9332,2.8654,2.9925,2.986,3.1098,2.9785,3.1558,3.4951,3.8128,3.7311,3.6274,3.5047,3.5013,3.4901,3.4467,3.5437,3.4955,3.6122,3.669,3.5587,3.3396,3.5101,3.5425
인도,111.3251,120.4043,132.5815,142.4441,139.4883,153.7019,159.3734,159.5558,174.0693,177.4134,181.7226,191.9637,203.036,209.095,215.8532,234.2091,244.7494,258.9617,263.1496,276.2847,291.7111,314.9662,325.38,352.1988,361.5594,397.5921,426.3094,455.3431,491.6922,540.651,577.996,615.365,655.447,677.2992,714.0637,760.4616,823.6206,858.0112,875.7723,950.4598,977.5264,990.9695,1021.6644,1059.1595,1125.0963,1185.6742,1292.4846,1392.506,1489.4375,1612.2163,1677.3372,1764.7124,1925.6997,1995.0981,2148.3437,2234.2195,2354.658,2426.6069,2593.0579,2612.888,2421.5523,2674.2219,2829.6442
인도네시아,21.3852,26.0016,22.9749,22.7631,22.3743,24.6682,23.375,24.54,27.5626,33.3622,35.7914,38.9553,43.3063,49.0981,51.2265,53.9325,61.7882,82.4164,93.9381,95.137,94.8729,100.2971,105.584,105.1838,112.4602,121.5974,122.1661,123.8785,132.7212,131.6735,155.0808,174.865,199.4187,215.1087,219.3717,222.4105,253.065,279.9415,244.523,292.0009,281.3304,317.0272,308.4859,339.3575,343.0215,347.617,346.6335,387.858,365.7183,398.9421,445.8061,500.7246,515.9542,489.0551,487.89,539.1492,540.0857,556.9442,594.1014,650.9059,605.9845,615.9234,728.8833
이란,37.3586,36.5088,37.4284,41.3049,47.5191,53.7184,64.1034,67.8809,82.3296,83.0387,91.7875,101.6278,106.0152,129.4753,143.7754,139.214,156.4591,163.7319,162.1039,162.9825,120.4939,112.9958,137.771,149.5849,149.8636,159.8567,147.6034,158.5626,175.1427,190.1978,209.9437,221.8339,226.9349,235.6069,263.3274,269.2701,274.9262,267.3571,303.5142,371.9739,364.3024,386.1582,393.4097,407.0767,437.6789,462.0028,496.0705,502.5654,522.5571,536.6052,552.9531,566.2888,588.3648,597.9523,632.6733,631.5812,633.8269,685.4013,710.2148,694.6665,679.0072,688.0763,690.6353
이라크,8.2562,8.7092,9.0208,9.3834,9.064,19.2931,27.6761,18.373,19.6957,22.6013,23.8838,28.8319,29.5205,30.6127,30.9095,33.1203,48.7355,43.6295,42.1931,52.8231,45.3582,31.9015,30.3744,38.4651,39.771,44.1964,47.2296,52.1838,67.1274,72.2418,49.057,45.1854,58.8894,63.1298,76.4367,79.6951,74.7099,76.1739,80.8372,82.0428,83.2655,96.3323,96.5399,101.2669,112.8031,114.0197,98.564,61.0862,93.9382,104.8154,113.5363,122.9373,133.4211,141.0526,137.0211,141.9866,158.8926,176.9631,183.7535,189.6065,159.8403,168.5863,179.0808
아일랜드,11.1685,12.3526,13.1067,13.4473,14.2161,13.7174,15.0949,16.3948,17.8016,18.4944,19.3937,22.4762,22.0364,22.8464,23.2933,22.0477,22.2934,23.5687,23.5796,27.4027,26.2715,26.0615,25.5663,25.7287,25.5494,26.7498,28.5503,30.2263,29.8836,30.0611,32.9444,33.6743,33.4953,33.7164,34.8384,35.853,37.4693,38.805,40.709,42.4402,45.2491,47.6076,46.0816,45.6841,46.1668,48.1562,47.6044,47.6641,47.3628,42.1791,41.7932,38.0564,38.2272,37.2819,36.8532,38.7185,40.3697,39.0783,39.0126,37.3258,35.1238,37.5473,38.784
이스라엘,6.46,7.0608,7.9324,8.1996,9.1373,12.9288,13.5814,13.5279,13.7942,14.8009,16.5594,16.2189,16.8909,19.2612,19.369,19.5405,19.4967,19.7659,21.0317,20.8644,20.9846,21.0176,23.8549,23.709,23.4985,24.613,26.3483,27.0689,29.7026,31.3943,35.8244,36.1485,42.0825,44.2345,47.4746,49.8655,51.9358,54.8657,56.0098,54.756,59.5194,63.0236,59.3014,62.4147,58.6792,56.5241,62.149,62.7999,67.9802,63.8609,68.2869,68.5947,74.7848,63.0953,60.2823,62.9391,61.1607,58.8416,59.9858,58.6592,55.6975,54.8491,56.1181
이탈리아,109.2031,124.3749,146.255,164.5562,175.7211,189.5284,213.9823,234.1297,249.1722,269.661,296.3645,311.0492,328.2375,353.3491,358.2529,341.0525,365.7955,354.4176,371.2738,385.2555,386.433,375.3001,366.879,358.4091,364.6011,368.9824,363.1876,380.0986,385.9623,404.7419,438.9043,438.3857,438.771,431.1764,425.4282,449.4302,443.6567,449.4309,461.6467,466.3934,470.5241,470.5774,478.002,496.0058,501.6316,502.3466,496.9344,490.6533,479.0772,424.9527,436.5343,424.7392,404.2606,370.2535,350.1267,361.9359,358.814,353.4186,349.8269,340.4025,303.2813,337.2299,338.0973
자메이카,1.4684,2.1279,2.117,2.3955,4.0622,2.9886,3.516,3.8642,3.8785,4.2669,4.9886,5.7472,6.2823,8.2904,7.5943,8.1807,7.2759,7.4409,9.1119,8.5295,8.4454,7.4085,6.214,6.4449,5.1406,5.0417,4.5472,5.379,4.5255,6.7241,7.5272,7.751,7.7087,8.001,8.1886,9.1734,9.6876,10.0682,9.694,9.9582,10.314,10.5764,10.2026,10.6671,10.5742,10.4165,11.5772,10.7492,10.7796,7.9338,7.6773,8.2556,7.9128,8.4922,7.6975,7.9989,8.1634,7.7975,8.0864,7.8234,6.4626,6.6084,6.4876
일본,232.4996,282.7869,292.8644,324.8355,358.8911,386.4712,419.2451,489.3074,561.9126,653.2154,767.9631,796.5443,852.1702,914.2652,914.3062,868.5108,907.1445,933.2377,901.5901,953.0713,944.8686,926.8355,897.4078,880.9094,937.0699,912.4008,912.2599,902.5303,985.4643,1021.6817,1157.1956,1168.8973,1178.6748,1171.6867,1226.7022,1239.0481,1251.5457,1244.251,1204.4025,1241.0365,1263.7548,1249.1621,1278.7871,1287.2925,1282.6859,1290.1446,1267.1184,1302.8368,1232.0142,1163.0572,1214.7075,1264.6312,1305.8836,1315.192,1264.0719,1223.1687,1202.4546,1186.8023,1141.6689,1104.5398,1039.7959,1062.1292,1053.7979
조던,0.74314,0.9774,1.047,1.219,1.2408,1.4204,1.5813,1.413,1.504,1.7568,1.5557,1.6544,1.9136,2.1996,2.2253,2.4892,2.9446,3.1539,3.6273,3.7769,4.6958,5.8252,6.2557,7.2999,8.2469,8.4215,9.1651,9.506,9.177,9.0798,10.4764,9.9039,11.9842,11.7743,13.2496,13.2081,13.8254,14.0741,14.2531,14.2667,15.2002,15.6095,16.4204,16.9822,18.6707,20.4368,20.5264,21.4365,20.718,21.3367,20.6153,21.2438,23.8146,23.8182,25.8988,25.5499,24.6983,25.8135,25.142,24.7286,21.1288,22.6673,22.9126
카자흐스탄,96.5392,99.564,104.4934,112.0328,119.119,126.3632,133.4504,139.5134,143.3954,149.3033,157.0812,166.561,175.1332,182.4068,189.2158,198.7582,206.2209,213.0415,220.1553,221.8216,230.4349,225.7458,229.9131,232.9647,234.8374,253.3375,258.1385,256.0834,274.2069,264.7404,268.1731,261.0659,236.1311,208.2168,174.9334,168.2859,154.505,146.4254,144.2827,119.2653,143.3802,138.7685,157.5248,175.8547,186.3557,200.042,220.5747,226.7447,226.831,224.5497,248.8032,238.9877,246.3453,255.1649,274.2897,278.6613,277.6957,293.4765,307.1741,275.2898,255.4865,255.1429,271.1783
케냐,2.4241,2.3986,2.622,2.8529,2.8233,2.4639,2.6801,2.6984,2.8154,3.1265,3.0782,3.6793,3.8662,3.914,4.9436,4.9692,4.6027,5.0494,5.3172,5.0323,6.1893,6.5192,4.6874,4.6547,4.3144,3.7654,4.1571,5.1685,4.7841,5.1874,5.819,4.8343,5.5365,6.3418,6.5533,7.5488,9.2925,8.2101,9.9596,10.0706,10.4088,9.2779,7.8907,6.6974,7.5898,8.5549,9.5655,9.8236,10.2328,12.3425,12.1632,13.4476,12.5057,13.458,14.5315,16.9985,18.1345,17.7094,18.838,19.7992,21.9824,24.4576,24.8519
키리바시,0,0.007328,0.010992,0.01832,0.01832,0.010992,0.010992,0.021984,0.032976,0.010992,0.021984,0.029312,0.025648,0.03664,0.032976,0.032976,0.032976,0.021984,0.021984,0.025648,0.029312,0.029312,0.025648,0.021984,0.021984,0.021984,0.01832,0.021984,0.021984,0.021984,0.021984,0.021984,0.025648,0.029312,0.029312,0.029312,0.029312,0.029312,0.029312,0.029312,0.03664,0.03664,0.03664,0.040304,0.040304,0.047632,0.047632,0.047632,0.047632,0.047632,0.058624,0.05496,0.051296,0.051296,0.058624,0.05496,0.05496,0.065952,0.065952,0.065952,0.065952,0.068819,0.068043
코소보,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1642,0.16249,0.16078,0.16613,7.3621,8.1092,8.3547,8.2945,7.8478,7.9694,7.1327,8.2906,8.7935,8.0225,8.0447,8.3897,8.4514,8.0883,8.0175
쿠웨이트,7.797,9.9734,14.2786,17.012,25.3146,35.3906,35.1231,25.4208,23.1493,26.8095,25.0215,27.1173,27.6119,24.2227,19.312,16.8129,18.4562,17.2014,20.9716,17.6277,24.6162,25.1396,21.0903,21.5412,28.2852,29.0702,35.2303,31.3779,32.8251,35.7716,37.807,14.9164,29.6484,49.1294,57.1966,56.1277,51.6269,56.6209,52.8118,54.978,54.8896,59.0507,59.9856,62.3362,65.6307,74.4264,76.0472,77.1583,84.2811,88.7166,90.8699,87.9167,101.7661,83.7233,75.6235,93.6606,109.1263,103.3133,105.5479,108.8935,97.7124,103.2828,109.19
키르기스스탄,8.3354,8.5973,9.0244,9.6759,10.2879,10.9139,11.527,12.053,12.3905,12.9028,13.5781,14.4082,15.1582,15.7984,16.3998,17.2367,17.8849,18.4797,19.1017,19.2421,19.9884,19.5963,19.9577,20.2302,20.3969,21.9924,21.7084,21.2027,21.5114,20.916,18.9976,15.6565,11.0417,8.4682,6.1445,4.5069,5.6519,5.5607,5.901,4.6424,4.5753,3.8567,4.9172,5.3755,5.8082,5.5191,5.4606,6.5223,7.4809,6.7093,6.3557,7.6202,10.0867,9.7338,10.2364,10.2648,9.6217,9.3607,11.1715,9.0463,8.3488,9.4338,9.4497
라오스,0.080608,0.11358,0.1319,0.14656,0.17221,0.17954,0.2345,0.31877,0.16854,0.31877,0.57158,0.42136,0.48731,0.51662,0.29312,0.25282,0.2235,0.23083,0.23083,0.2235,0.18686,0.15022,0.15755,0.17954,0.1832,0.20518,0.20885,0.21251,0.21251,0.23083,0.51296,0.54594,0.59273,0.60742,0.63426,0.6709,0.74989,0.79241,0.82007,0.84584,0.9604,1.0627,1.1658,1.221,1.2825,1.337,1.7573,1.8354,2.1313,2.6675,3.0045,3.1701,3.398,4.2612,4.4497,9.2293,16.4581,19.6838,20.5581,19.5343,19.6749,23.367,23.1934
라트비아,9.5838,9.8868,10.3814,11.1355,11.8441,12.5659,13.2724,13.8828,14.2769,14.8712,15.6446,16.6098,17.4859,18.2361,18.9435,19.9227,20.6903,21.3972,22.1366,22.3188,23.1963,22.7698,23.1981,23.5356,23.749,25.6004,24.0913,19.8346,19.4073,18.1209,19.6627,17.9207,14.1946,11.9228,10.3712,9.135,9.2127,8.6809,8.307,7.7188,7.0826,7.4974,7.5214,7.727,7.7321,7.8117,8.3109,8.6387,8.1989,7.4568,8.5553,7.8119,7.5206,7.3697,7.1732,7.2635,7.2116,7.2163,7.863,7.6506,6.9999,7.2405,6.5915
레바논,2.576,2.6785,2.8508,3.0228,3.2611,3.312,3.6229,3.5646,3.6933,4.3441,3.9407,5.3006,5.6534,7.0667,7.0879,6.2651,5.924,5.3855,5.4959,5.7852,5.8898,5.8442,5.7194,6.9422,6.7132,7.7649,7.4784,7.6704,7.3457,7.7208,7.8682,8.1152,9.7269,10.3549,11.1108,12.2547,12.7528,15.0987,16.2865,16.4297,15.4663,16.4066,16.2437,18.529,17.2084,16.6502,14.7924,13.7461,17.4178,20.9576,19.9966,20.2641,22.332,22.1634,23.992,25.7346,26.4415,27.8241,26.1602,25.6614,22.2796,23.4718,23.9045
레소토,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4729,1.5279,1.5865,1.6341,1.6744,1.7074,1.7367,1.7697,1.8027,1.8247,1.8503,1.876,1.9053,1.9309,1.9822,2.0115,2.0372,2.0738,2.1251,2.2167,2.2753,3.0631,3.0924,2.334,2.4732,2.2424,2.2131,2.5135,2.3706,2.3889,2.1728,2.4805,3.1347
라이베리아,0.16488,0.16122,0.25282,0.35541,0.48365,0.55693,0.61189,0.61189,0.88282,1.2711,1.4506,1.5239,1.5055,1.4799,1.7217,1.4836,1.4756,1.4714,1.5032,1.9419,2.0376,1.9349,0.59741,0.70652,0.69543,0.71608,0.72288,0.75846,0.80918,0.65959,0.45613,0.37455,0.39166,0.4173,0.41526,0.41607,0.42746,0.44619,0.47305,0.37614,0.39877,0.41742,0.43203,0.46432,0.54647,0.65057,0.67273,0.62512,0.5308,0.47069,0.7569,0.84805,0.96265,0.87426,0.82146,0.46722,0.49712,0.89087,0.42177,1.0196,0.76942,0.86525,0.87693
리비아,0.6925,1.1945,1.0479,1.4619,0.66318,1.0149,2.6271,18.4922,30.1144,35.5222,32.3051,21.6283,15.22,14.5751,9.3376,11.5684,17.8879,20.1982,21.1554,25.9264,26.7806,28.668,30.5651,30.146,28.2762,31.0022,33.8955,32.3483,36.1604,37.0685,36.5138,42.6198,37.0244,38.7083,51.3599,54.5957,53.9519,51.779,51.6526,50.2599,53.2385,53.1136,52.525,55.4773,56.8504,60.6685,55.7442,51.5953,53.5018,53.3971,61.0856,55.8615,55.2788,43.4584,60.6021,54.5507,51.6494,53.437,54.0195,70.5274,47.0681,63.9258,62.9613
리히텐슈타인,0.015448,0.016864,0.017358,0.01877,0.057509,0.062472,0.0611,0.060654,0.07384,0.087562,0.111,0.1162,0.10752,0.13456,0.10918,0.13746,0.13367,0.15228,0.15189,0.13067,0.15783,0.14822,0.10379,0.1307,0.13644,0.17022,0.19514,0.13511,0.17901,0.18714,0.19897,0.20633,0.20695,0.21503,0.20111,0.2042,0.20596,0.21838,0.22924,0.22657,0.21686,0.21467,0.22002,0.22935,0.22939,0.22899,0.23112,0.20079,0.21954,0.20537,0.19083,0.17678,0.18533,0.19254,0.16126,0.15977,0.14984,0.15577,0.14295,0.14902,0.14193,0.14588,0.14993
리투아니아,14.8337,15.309,16.0871,17.268,18.3752,19.4942,20.5908,21.5542,22.1826,23.1208,24.3288,25.8692,27.2707,28.4805,29.6272,31.1929,32.4131,33.5444,34.7391,35.0357,36.4222,35.8048,36.4908,37.0504,37.4067,40.3009,36.3096,36.0696,36.7897,36.8981,35.7377,37.8204,21.1684,16.3197,15.767,15.0573,15.74,15.1628,15.9971,13.4496,11.843,12.5937,12.666,12.6594,13.2542,13.8626,14.1958,15.4751,14.9187,12.8305,13.8032,13.961,14.056,13.1542,12.8549,13.0555,13.1217,13.2862,13.4347,13.6778,13.5387,13.8297,12.6672
룩셈부르크,11.5078,11.581,11.5407,11.4382,12.2956,12.1929,11.6104,11.3503,12.259,13.1822,13.7354,13.194,13.4932,14.1754,14.424,11.8639,11.8618,10.9539,11.8808,12.1622,11.0736,9.486,8.9242,8.364,9.0042,9.2368,9.1112,8.8123,9.0997,9.8463,11.8155,12.4349,12.2025,12.3519,11.5429,9.1559,9.2074,8.5639,7.6633,8.1176,8.7036,9.2055,9.9806,10.4525,11.8217,12.0796,11.911,11.3069,11.1725,10.6304,11.1976,11.1024,10.872,10.3387,9.8235,9.351,9.0942,9.268,9.5739,9.7696,8.0677,8.4297,7.5241
마카오,0.051296,0.069616,0.095264,0.10626,0.12824,0.1319,0.15022,0.16488,0.16854,0.16854,0.20518,0.22717,0.23083,0.2235,0.26747,0.29678,0.25282,0.30778,0.41403,0.41403,0.52762,0.53494,0.48365,0.6815,0.60456,0.7328,0.8757,0.97096,0.96363,1.0296,1.0332,1.0919,1.0809,1.1798,1.2714,1.2311,1.407,1.4876,1.5572,1.5169,1.6305,1.6854,1.5169,1.5316,1.7148,1.8283,1.6195,1.363,1.1322,1.8906,1.2348,1.2934,1.1322,0.98928,1.2934,1.7697,1.7807,1.9273,1.2421,1.2128,1.0332,1.0688,1.0516
마다가스카르,0.39938,0.35541,0.39565,0.46149,0.48347,0.55678,0.5787,0.84248,0.91207,0.84975,0.97066,1.0256,1.2858,1.0733,1.1869,1.6925,0.99223,0.8456,1.0172,1.1302,1.6139,1.0245,1.0133,0.65039,0.86637,1.053,1.1371,1.2824,1.2858,0.9258,0.9443,1.0249,1.0028,1.0321,1.1522,1.1924,1.2453,1.5352,1.6191,1.7627,1.9479,1.743,1.2358,1.6921,1.8044,1.7411,1.6747,1.735,1.78,1.7064,1.8718,2.3739,2.7442,3.2076,3.1579,3.2275,3.2678,4.1189,3.7913,4.2564,3.9639,4.2667,4.4036
말라위,0.43835,0.37332,0.36061,0.34671,0.32964,0.34796,0.42851,0.36622,0.38815,0.38076,0.45407,0.50167,0.54557,0.57112,0.54909,0.57827,0.58199,0.63686,0.66973,0.63672,0.71008,0.60385,0.59309,0.57454,0.55618,0.55631,0.55246,0.5451,0.54149,0.56335,0.74033,0.78761,0.78709,0.882,0.90175,0.9065,0.91953,0.91486,0.90175,0.89326,0.85765,0.77325,0.85624,0.9185,0.90168,0.84898,0.84798,0.91947,0.99837,1.0133,0.9685,1.0562,1.0661,1.1459,1.0408,1.0829,1.2056,1.2297,1.723,1.6365,1.8708,2.0784,2.0941
말레이시아,4.2015,4.6849,4.7765,5.828,7.3994,8.3802,9.8344,10.1276,10.5302,9.1378,14.5859,16.6626,17.9006,17.5051,19.0447,19.4452,23.8976,22.6208,23.2604,27.3059,28.0326,30.8777,30.6419,38.0483,34.7944,36.3298,40.1019,40.8777,42.8692,50.0839,54.2694,65.7851,72.961,86.7186,88.036,110.841,110.6328,119.6288,109.7817,103.9865,122.8781,130.89,132.0352,153.3843,169.6783,169.9673,170.1664,175.4508,192.8471,192.1191,199.3461,203.4523,212.99,241.6711,245.0497,235.5057,236.8174,244.1056,262.2072,267.4943,269.2487,278.8612,291.0714
몰디브,,,,,,,,,,,0,0.003664,0.003664,0.003664,0.003664,0.007328,0.010992,0.014656,0.021984,0.029312,0.043968,0.047632,0.047632,0.051296,0.058624,0.065952,0.080608,0.080608,0.095264,0.12458,0.17221,0.15389,0.23083,0.19786,0.19786,0.24915,0.28946,0.32976,0.30045,0.42136,0.45067,0.46166,0.59357,0.50563,0.66685,0.6009,0.74379,0.78043,0.84272,0.88302,0.93432,0.98562,1.1102,1.0919,1.3154,1.2787,1.4363,1.5132,1.7404,1.9529,1.6488,1.7205,1.7011
말리,0.12091,0.11725,0.13923,0.17587,0.17587,0.19786,0.19053,0.2235,0.19786,0.16122,0.20152,0.22717,0.24549,0.26729,0.30393,0.34054,0.34026,0.41347,0.39495,0.42791,0.39134,0.39488,0.36513,0.41662,0.43482,0.40538,0.37961,0.3575,0.38303,0.41588,0.42224,0.42589,0.46252,0.50281,0.54839,0.5952,0.64608,0.72667,0.93432,0.97096,1.0662,1.1615,1.2091,1.2458,1.407,1.4546,1.5352,1.788,1.9566,1.887,2.0885,2.279,2.4366,2.7434,3.1356,3.2816,4.2346,4.6564,4.9087,5.8326,6.4185,6.9282,7.0388
몰타,0.34075,0.29312,0.32976,0.41037,0.4983,0.47266,0.41403,0.52029,0.63754,0.65219,0.66318,0.65952,0.83906,0.80608,0.74379,0.66685,0.76211,0.80242,0.93432,0.90501,1.0223,1.1432,1.3117,0.99661,1.363,1.1981,1.4839,1.854,2.0115,2.1691,2.4274,2.2718,2.2936,2.8856,2.6583,2.4521,2.5339,2.5562,2.5249,2.5729,2.4682,2.7366,2.7472,2.9608,2.8491,2.6567,2.6675,2.7314,2.6904,2.5263,2.6028,2.5839,2.717,2.3792,2.3644,1.6653,1.3563,1.5308,1.5467,1.6488,1.5972,1.6067,1.6551
마셜 제도,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076944,0.084272,0.084272,0.087936,0.087936,0.087936,0.0916,0.087936,0.098928,0.10259,0.10992,0.10626,0.11725,0.11358,0.12091,0.12458,0.12824,0.1319,0.13557,0.13923,0.13557,0.13923,0.1429,0.1429,0.1429,0.14656,0.14656,0.14656,0.14656,0.15293,0.15121
마르티니크,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
모리타니,0.03664,0.047632,0.062288,0.087936,0.11725,0.16122,0.17954,0.19786,0.2345,0.2748,0.42869,0.39938,0.44701,0.46899,0.48365,0.5093,0.51662,0.55693,0.58258,0.60456,0.63021,0.63371,0.88302,0.93798,0.87203,0.65586,0.37373,3.2426,3.184,2.803,0.85371,0.86837,0.90501,0.92699,0.9563,1.0149,1.0626,1.0772,1.0699,1.0955,1.1139,1.1725,1.2494,1.2897,1.385,1.4373,1.5501,1.7576,1.8344,2.0123,2.0935,2.2302,2.4476,2.1689,2.5664,3.0025,2.6271,3.4199,3.6643,3.7739,4.1183,4.455,4.5341
모리셔스,0.17954,0.18686,0.25282,0.20885,0.30778,0.30411,0.2748,0.4983,0.63754,0.57158,0.4983,0.39571,0.68883,0.67784,0.6925,0.5899,0.61922,0.6412,0.63021,0.65952,0.5899,0.54227,0.50197,0.59723,0.62654,0.70715,0.79875,0.93066,0.85371,1.0516,1.4619,1.5206,1.7074,1.7734,1.6232,1.8283,1.9492,1.9969,2.1691,2.4256,2.6894,2.8616,2.8836,3.0594,3.0888,3.2939,3.6274,3.686,3.7666,3.708,3.9132,3.9168,3.9644,4.067,4.2063,4.2099,4.3455,4.536,4.4591,4.5214,3.8069,4.0908,4.249
